ID,MINA,UF,MUNICIPIO,LATITUDE,LONGITUDE,RISCO
9728,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.465573611111111,-56.45760666666667,Baixa
9730,Nome da mina não informado,MT,POCONÉ,-16.255458333333333,-56.671299999999995,Média
9731,Nome da mina não informado,MT,POCONÉ,-16.25663611111111,-56.66959166666666,Média
9732,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.969600833333333,-56.2865375,Baixa
9733,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.937664722222223,-56.291803888888886,Alta
9741,Mina RCC,PA,BARCARENA,-1.5802777777777777,-48.74761111111111,Baixa
9747,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.766986111111112,-56.23110555555556,Média
9750,Nome da mina não informado,MT,POCONÉ,-16.08167222222222,-56.55501972222222,Média
9752,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.762616666666666,-56.26496111111111,Baixa
9765,Mina de Buritirama,PA,MARABÁ,-5.509079722222222,-50.23345194444445,Alta
9772,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.925567222222222,-56.356392222222226,Baixa
9773,Nome da mina não informado,MT,CUIABÁ,-15.534016666666666,-56.05063611111111,Média
9775,Nome da mina não informado,MT,JUÍNA,-11.463339166666666,-58.938520277777776,Média
9776,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.919330555555556,-56.490883333333336,Baixa
9780,Mina de Buritirama,PA,MARABÁ,-5.5135861111111115,-50.235533333333336,Alta
9782,Nome da mina não informado,BA,JAGUARARI,-9.875618888888889,-39.87270083333333,Baixa
9783,Nome da mina não informado,MT,CUIABÁ,-15.510619444444444,-56.04776944444444,Baixa
9784,SÃO BENTO,MT,POCONÉ,-16.25861111111111,-56.59638888888889,Alta
9785,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.683756944444445,-56.30414888888889,Média
9793,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-16.005858333333332,-56.22924444444445,Média
9799,Mina de Fabrica ,MG,OURO PRETO,-20.402205555555554,-43.85186388888889,Baixa
9800,Mina do Queias,MG,BRUMADINHO,-20.126991944444445,-44.31611083333333,Alta
9801,Nome da mina não informado,TO,ALMAS,-11.4464,-47.19303333333333,Baixa
9803,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.63903611111111,-56.340294444444446,Baixa
9806,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.676077777777778,-56.36579444444445,Baixa
9807,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.902691666666668,-56.20735277777778,Média
9810,Água Branca ,PA,ITAITUBA,-6.368191666666666,-56.268391666666666,Alta
9811,Nome da mina não informado,PA,ITAITUBA,-6.366119444444444,-56.26777777777777,Alta
9814,Água Branca ,PA,ITAITUBA,-6.3608361111111105,-56.26710833333333,Alta
9815,Nome da mina não informado,BA,JAGUARARI,-9.86087888888889,-39.880362777777776,Média
9816,Nome da mina não informado,BA,JAGUARARI,-9.862105,-39.88049777777778,Baixa
9818,Mina Serra do Sapo,MG,CONCEIÇÃO DO MATO DENTRO,-18.935555555555556,-43.40119166666666,Baixa
9823,Nome da mina não informado,BA,JAGUARARI,-9.863473888888889,-39.87994888888889,Baixa
9824,Nome da mina não informado,BA,JAGUARARI,-9.861199722222223,-39.879016944444444,Baixa
9826,Nome da mina não informado,PA,JACAREACANGA,-9.346195555555557,-56.55292583333333,Baixa
9832,Nome da mina não informado,AP,PORTO GRANDE,0.41214194444444446,-51.72891666666667,Média
9833,Nome da mina não informado,AP,PORTO GRANDE,0.4098638888888889,-51.72924166666667,Média
9834,Nome da mina não informado,AP,PORTO GRANDE,0.4079111111111111,-51.73000555555556,Média
9835,Nome da mina não informado,AP,PORTO GRANDE,0.4070944444444445,-51.73753333333333,Média
9836,Nome da mina não informado,MT,POCONÉ,-16.027080555555553,-56.5248,Média
9837,Nome da mina não informado,MT,POCONÉ,-16.024538888888888,-56.521163888888886,Média
9840,Nome da mina não informado,MT,SÃO JOSÉ DOS QUATRO MARCOS,-15.652405555555555,-58.542855555555555,Baixa
9844,Nome da mina não informado,MT,CUIABÁ,-15.504008333333333,-56.020675,Média
9845,Nome da mina não informado,MT,PONTES E LACERDA,-15.248154722222221,-59.29284583333333,Média
9847,Nome da mina não informado,PA,JURUTI,-2.536477777777778,-56.16697194444444,Baixa
9849,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.97933888888889,-56.49095277777778,Baixa
9854,Nome da mina não informado,MT,POCONÉ,-16.009066666666666,-56.622348055555555,Baixa
9876,Nome da mina não informado,MT,VÁRZEA GRANDE,-15.621726944444445,-56.275935833333335,Média
9896,Nome da mina não informado,MT,NOVA BANDEIRANTES,-9.215338888888889,-58.29170833333333,Baixa
9897,Nome da mina não informado,MT,POCONÉ,-16.219001666666664,-56.61202361111111,Baixa
9911,Nome da mina não informado,MT,NOVA BANDEIRANTES,-9.215338888888889,-58.29170833333333,Baixa
9916,Nome da mina não informado,MG,ESMERALDAS,-19.74476527777778,-44.37487194444444,Média
9919,Porto de areia Fl Jotas,MG,ESMERALDAS,-19.74500388888889,-44.37478055555555,Média
9921,Berion,MT,PONTES E LACERDA,-15.129725,-59.36935277777778,Alta
9924,Nome da mina não informado,SP,TATUÍ,-23.35363611111111,-47.734375,Média
9925,Unidade ITA13,SP,BOFETE,-23.193922222222223,-48.358672222222225,Baixa
9929,Nome da mina não informado,PA,ITAITUBA,-6.4155500000000005,-55.97078888888889,Baixa
9934,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.846633333333333,-56.15958888888889,Baixa
9948,Nome da mina não informado,MT,SANTO ANTÔNIO DE LEVERGER,-15.726747222222222,-55.88217777777778,Baixa
9973,Nome da mina não informado,MT,POCONÉ,-16.305533333333333,-56.732486111111115,Média
9980,Nome da mina não informado,MT,CARLINDA,-9.79448611111111,-55.798375,Média
9986,Nome da mina não informado,PA,CURIONÓPOLIS,-6.086658333333333,-49.652375,Baixa
9988,Nome da mina não informado,BA,MAIQUINIQUE,-15.780347222222224,-40.31443055555555,Alta
9990,Mina de Fábrica,MG,CONGONHAS,-20.44013888888889,-43.905138888888885,Baixa
9994,Mina Vazante,MG,VAZANTE,-17.961335833333333,-46.84977777777778,Baixa
10007,Cava paiol,TO,ALMAS,-11.718616944444445,-47.18900194444444,Baixa
10010,Nome da mina não informado,MT,NOVA LACERDA,-14.479905555555556,-59.8378,Baixa
10013,Nome da mina não informado,MG,ITATIAIUÇU,-20.158188888888887,-44.426449999999996,Baixa
10014,Nome da mina não informado,MT,VÁRZEA GRANDE,-15.621347222222223,-56.27679166666667,Média
10019,Nome da mina não informado,MG,UBERABA,-19.409470277777775,-47.953901111111115,Baixa
10020,Nome da mina não informado,MG,UBERABA,-19.40967472222222,-47.954255833333335,Baixa
10021,Nome da mina não informado,MG,UBERABA,-19.40951944444444,-47.95547944444445,Baixa
10022,Nome da mina não informado,MG,UBERABA,-19.410207777777778,-47.95630055555556,Baixa
10030,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.796725,-56.27104444444444,Baixa
10033,Nome da mina não informado,MT,CUIABÁ,-15.556175000000001,-55.84623888888889,Baixa
10039,Nome da mina não informado,MT,POCONÉ,-16.25613611111111,-56.656413888888885,Baixa
10041,Nome da mina não informado,MT,POCONÉ,-16.21913888888889,-56.652563888888885,Baixa
10045,Nome da mina não informado,MT,POCONÉ,-16.24745,-56.65826111111111,Baixa
10049,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.669688888888889,-56.35072777777778,Baixa
10054,Nome da mina não informado,MT,CUIABÁ,-15.919627777777777,-56.44723527777777,Baixa
10058,Nome da mina não informado,MT,CUIABÁ,-15.492038333333333,-55.939119999999996,Baixa
10059,Nome da mina não informado,MT,POCONÉ,-16.265494444444446,-56.589869444444446,Baixa
10060,Mina Sossego,MT,NOSSA SENHORA DO LIVRAMENTO,-15.844419444444444,-56.31103333333333,Baixa
10066,Nome da mina não informado,PA,ORIXIMINÁ,-1.6719944444444443,-56.48735,Baixa
10067,Nome da mina não informado,PA,ORIXIMINÁ,-1.673861111111111,-56.49186944444445,Baixa
10073,Nome da mina não informado,BA,MAIQUINIQUE,-15.788333333333334,-40.323055555555555,Baixa
10084,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.809580555555556,-56.16383888888889,Baixa
10097,OURO FINO,MT,NOSSA SENHORA DO LIVRAMENTO,-15.793255555555556,-56.18175833333333,Baixa
10099,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.694680555555555,-56.368611111111115,Baixa
10114,Nome da mina não informado,MT,PONTES E LACERDA,-15.304491666666667,-59.42344166666666,Média
10117,MINA OSAMO UTSUMI,MG,CALDAS,-21.97076111111111,-46.49391111111111,Baixa
10118,Nome da mina não informado,MG,CALDAS,-21.96611111111111,-46.51111111111111,Alta
10119,Mina do Engenho,BA,CAETITÉ,-13.835227777777778,-42.281702777777774,Alta
10120,Mina do Engenho,BA,CAETITÉ,-13.834747222222223,-42.281169444444444,Alta
10121,Mina do Engenho,BA,CAETITÉ,-13.835941666666667,-42.28261944444444,Alta
10122,Mina do Engenho,BA,CAETITÉ,-13.836108333333334,-42.284283333333335,Alta
10128,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.689327777777779,-56.35328055555556,Alta
10129,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.692141666666666,-56.36056666666667,Média
10172,Nome da mina não informado,MG,CALDAS,-21.94025388888889,-46.48911888888889,Alta
10174,Nome da mina não informado,MG,SARZEDO,-20.090052777777778,-44.11182222222222,Média
10179,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.935405555555556,-56.467913888888894,Baixa
10185,Nome da mina não informado,MA,GODOFREDO VIANA,-1.3095933333333334,-45.767765555555556,Média
10188,Nome da mina não informado,MG,SANTA BÁRBARA,-19.966949999999997,-43.47503888888889,Média
10189,Nome da mina não informado,MG,SANTA BÁRBARA,-20.006616666666666,-43.506766666666664,Baixa
10193,Nome da mina não informado,PA,PARAUAPEBAS,-6.479033888888889,-51.06147583333333,Baixa
10194,Mina Tocantinzinho,PA,ITAITUBA,-6.067933333333333,-56.28649722222222,Baixa
